
**************************************************
All Kharchenko+ 2013 clusters in sector 5:

Name            d         logt        N1sr2  total_sectors_obsd
    Berkeley_20       8399.0        9.780         13.0                   1

100 most-observed Kharchenko+ 2013 clusters in South:

Name            d         logt        N1sr2  total_sectors_obsd
         NGC_1641        985.0        9.520         78.0                  12
         NGC_2348       1076.0        9.475         43.0                  11
         NGC_1557       1820.0        9.500         20.0                  11
         FSR_1514       2754.0        9.500         30.0                  11
         FSR_1470       1055.0        8.630         52.0                  10
         NGC_2132       1003.0        9.045         52.0                  10
         NGC_1901        406.0        8.850        134.0                   9
         NGC_2516        373.0        8.475        698.0                   6
       ESO_123-26        816.0        8.530         92.0                   5
         NGC_1520       1023.0        9.430         10.0                   5
         FSR_1440       1631.0        8.760         91.0                   4
         FSR_1479       4055.0        9.200         40.0                   4
        Mamajek_1        112.0        6.990         19.0                   3
         NGC_2609       1481.0        8.480         24.0                   3
          ASCC_51        496.0        8.540        157.0                   3
       ESO_252-14       2180.0        8.655         16.0                   3
         Alessi_3        311.0        8.870         78.0                   3
         FSR_1446       2434.0        9.100         49.0                   3
         FSR_1447       2549.0        9.100         39.0                   3
       ESO_092-18       9548.0        9.150         35.0                   3
 vdBergh-Hagen_58       2398.0        9.170         26.0                   3
         FSR_1541       3575.0        9.400         56.0                   3
         FSR_1579       1000.0        9.500         65.0                   3
         FSR_1577       1561.0        9.600         81.0                   3
              E_3       8104.0        9.900         25.0                   3
         NGC_2808       9612.0       10.100        215.0                   3
         FSR_1435       1296.0        6.000         61.0                   2
        Pismis_11       4767.0        6.000         38.0                   2
          DBSB_43       1940.0        6.000         41.0                   2
           Hogg_7       4583.0        6.000         29.0                   2
          DBSB_75       4564.0        6.000         54.0                   2
         DBSB_129       6976.0        6.000         38.0                   2
          DBSB_78       4569.0        6.000         25.0                   2
             DC_5       4430.0        6.050         88.0                   2
         NGC_3324       2361.0        6.100         19.0                   2
          DBSB_72       4494.0        6.100         37.0                   2
         FSR_1527       3258.0        6.200         51.0                   2
          IC_2944       2098.0        6.250         88.0                   2
        Loden_153       3015.0        6.300         42.0                   2
          DBSB_77       5417.0        6.300         30.0                   2
         FSR_1595       4416.0        6.350        196.0                   2
      Ruprecht_83       6020.0        6.400        194.0                   2
         Muzzio_1       1394.0        6.500        111.0                   2
          DBSB_73       4532.0        6.500         26.0                   2
         Loden_27       2628.0        6.600        100.0                   2
         FSR_1531       2710.0        6.600         57.0                   2
     Westerlund_2       4469.0        6.600         51.0                   2
          DBSB_69       2273.0        6.600         25.0                   2
          IC_2948       2796.0        6.600        130.0                   2
        Loden_467       2569.0        6.600         68.0                   2
      Feigelson_1        117.0        6.600         26.0                   2
vdBergh-Hagen_121       2937.0        6.640        143.0                   2
         NGC_3293       2441.0        6.750        128.0                   2
          DBSB_60       3740.0        6.750         32.0                   2
      Ruprecht_59       4004.0        6.800         88.0                   2
          DBSB_35       1678.0        6.800         35.0                   2
       Schuster_1       1863.0        6.800         37.0                   2
      Ruprecht_90       2682.0        6.800        114.0                   2
         Stock_14       2454.0        6.800        199.0                   2
          ASCC_70       2652.0        6.920        460.0                   2
          ASCC_79        871.0        6.950        703.0                   2
        Loden_112       2430.0        6.960        141.0                   2
      Ruprecht_55       3640.0        6.970        112.0                   2
          DBSB_51       3189.0        7.000         38.0                   2
      Ruprecht_94       2932.0        7.000        360.0                   2
    Collinder_205       1458.0        7.030        131.0                   2
    Collinder_121       1096.0        7.080        205.0                   2
        Pismis_16       1949.0        7.100         55.0                   2
vdBergh-Hagen_164        501.0        7.100        110.0                   2
 vdBergh-Hagen_23        414.0        7.140        123.0                   2
     Ruprecht_154       3160.0        7.150         37.0                   2
          ASCC_58        564.0        7.200        149.0                   2
       ESO_430-14       2860.0        7.210         78.0                   2
      Ruprecht_79       1991.0        7.265        192.0                   2
          IC_2395        701.0        7.270        159.0                   2
 vdBergh-Hagen_56        737.0        7.300         48.0                   2
 vdBergh-Hagen_87       1671.0        7.300        167.0                   2
          DBSB_46       2565.0        7.300         34.0                   2
       ESO_130-06       1198.0        7.300        199.0                   2
          IC_2581       2221.0        7.320        282.0                   2
         NGC_2571       1339.0        7.350        116.0                   2
         NGC_2659       1713.0        7.360        159.0                   2
         Graham_1       2577.0        7.375         62.0                   2
         NGC_3105      10301.0        7.400         51.0                   2
         Lynga_15       1380.0        7.400         97.0                   2
         Loden_28       3973.0        7.405         17.0                   2
         Pismis_8       1363.0        7.430        122.0                   2
         FSR_1379       1951.0        7.450        105.0                   2
         Bochum_7       6059.0        7.500         39.0                   2
 vdBergh-Hagen_54       1239.0        7.500        138.0                   2
          DBSB_36        748.0        7.500         18.0                   2
         Basel_20       1380.0        7.500        171.0                   2
          DBSB_50       1634.0        7.500         52.0                   2
     Ruprecht_102       1609.0        7.500        252.0                   2
         FSR_1474       1079.0        7.525         44.0                   2
         Pismis_6       1668.0        7.580        276.0                   2
         FSR_1518       1819.0        7.600         78.0                   2
        Loden_624       1423.0        7.600        999.0                   2
          DBSB_47       1669.0        7.650         28.0                   2
          ASCC_61       1702.0        7.665        111.0                   2

**************************************************
